Gaia_DR3_Source,Gaia_DR2_Source,RA,Dec,Plx,e_Plx,pmRA,pmDE,e_pm,RUWE,Gmag,e_Gmag,bp_rp,e_bp_rp,RV,e_RV,RV_Gaia,e_RV_Gaia,RV_GES,e_RV_GES,RV_Dario,e_RV_Dario,Teff_TIC_model,Teff_Gaia_bprp,Source_Spec,Teff_Spec,logg_Spec,[Fe/H]_Spec,RV_Spec,Li_Spec,Vbroad_Spec,Prot,Prot_TESS,Member_Gaia,Member_CG,Member_Theia,Member_DJF,Member_Hunt,Member_Curtis,Binary_Astrom,Binary_Spec,Binary_Phot,d_Plx,d_pm,d_RV,d_CMD,Done,N_Sectors_Cycle1,N_Sectors_Cycle3,N_Sectors_Cycle5,LS_Power_Cycle1,LS_Period_Cycle1,LS_Power_Cycle1_rapid,LS_Period_Cycle1_rapid,LS_Power_Cycle1_slow,LS_Period_Cycle1_slow,LS_Power_Cycle3,LS_Period_Cycle3,LS_Power_Cycle3_rapid,LS_Period_Cycle3_rapid,LS_Power_Cycle3_slow,LS_Period_Cycle3_slow,LS_Power_Cycle5,LS_Period_Cycle5,LS_Power_Cycle5_rapid,LS_Period_Cycle5_rapid,LS_Power_Cycle5_slow,LS_Period_Cycle5_slow,Possible_Blend_Cycle1,Possible_Blend_Cycle3,Possible_Blend_Cycle5,Plx_Outlier,RV_Outlier,PM_Outlier,Power_Final,Prot_Final,Class,Binary_Candidate,Dario_Class
5241875613368612864,5241875613368612864,164.62269364708,-61.81945583644,2.1365,0.0237,-10.031,6.2,0.0367967389859482,1.805,13.38852,0.002805,0.963757,0.005140401929810548,nan,nan,5.65,4.13,nan,nan,nan,nan,5468.936970015048,5435.9,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,1,2,0.2317698057758105,5.6322771267058425,0.02065152517652091,2.972972802877675,0.2317698057758105,5.6322771267058425,0.15027049258278008,5.381001104177192,0.011823093144577348,2.4882229574941666,0.15027049258278008,5.381001104177192,0.18325065411056868,5.217758215543319,0.007605488915075415,2.996812694680618,0.18325065411056868,5.217758215543319,0,0,0,0.0,0.0,0.0,0.2317698057758105,5.381001104177192,1.0,1.0,-1.0
5242166605985236096,5242166605985236096,162.80777072131,-60.81534426769,1.8535,0.0795,-9.411,5.557,0.1380326048439281,0.996,17.599751,0.002984,2.436581,0.0297864225612946,nan,nan,nan,nan,nan,nan,nan,nan,3570.9766137006345,3553.0,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
5254207563975333888,5254207563975333888,161.15592359814,-60.45828316557,2.3918,0.0943,-11.129,6.626,0.15297058540778355,1.007,17.952528,0.003138,2.616352,0.03583808058476347,nan,nan,nan,nan,nan,nan,nan,nan,3407.9715068309297,3479.4,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,1.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
5334364504244265088,5334364504244265088,171.1654578368,-61.53890036366,1.9586,0.0513,-9.63,3.513,0.07574298647399638,2.795,14.750587,0.002849,1.173842,0.005351989910304391,nan,nan,50.43,14.25,nan,nan,nan,nan,4953.112274174114,5153.0,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,2,0,0.4835234847673348,0.6108014255776041,0.4835234847673348,0.6108014255776041,0.004361252779182042,7.931238725431774,0.28067995692308595,0.6108014255776041,0.28067995692308595,0.6108014255776041,0.010982037572988948,6.987759182805022,nan,nan,nan,nan,nan,nan,0,0,0,0.0,1.0,1.0,0.4835234847673348,0.6108014255776041,2.0,1.0,-1.0
5334411577110134016,5334411577110134016,172.83056655771,-61.4056998483,2.0708,0.0243,-10.55,4.08,0.03606937759374287,0.986,15.414752,0.00278,1.485167,0.005741809209648123,nan,nan,nan,nan,nan,nan,nan,nan,4382.893888601828,4606.0,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,2,0,0.24020192969231444,27.476787584356142,0.004855396196088211,1.6388067520137959,0.24020192969231444,27.476787584356142,0.026310468185345756,10.10164200735063,0.0025668836281896473,0.135304951280008,0.026310468185345756,10.10164200735063,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.026310468185345756,10.10164200735063,3.0,0.0,-1.0
5334457168136923904,5334457168136923904,171.61396341338,-61.21661677903,2.3596,0.1185,-13.405,5.393,0.17613914953808535,1.03,18.019306,0.003137,2.433216,0.03900808086794325,nan,nan,nan,nan,nan,nan,nan,nan,3573.9143940279146,3559.2,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,1.0,0.0,1.0,0.0,nan,0.0,0.0,-1.0
5334483144097599232,5334483144097599232,171.6613538833,-61.04631986558,2.1014,0.036,-11.511,4.792,0.05162363799656122,0.993,15.958452,0.0028,1.691382,0.006888595865631834,nan,nan,nan,nan,nan,nan,nan,nan,4121.50924309967,4366.3,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,2,2,2,1,0.01662286410812965,13.420765530177887,0.010401653036029006,2.9325448033305874,0.01662286410812965,13.420765530177887,0.007452400705946561,11.245303183264712,0.0019800318246889913,1.044229646820527,0.007452400705946561,11.245303183264712,0.0017854413077475213,7.347523051171465,0.0010425290601499485,0.10745285804547625,0.0017854413077475213,7.347523051171465,0,0,0,0.0,0.0,0.0,0.01662286410812965,13.420765530177887,1.0,0.0,-1.0
5334484797719206528,5334484797719206528,171.54249616395,-60.9543686506,2.1811,0.0686,-11.083,4.698,0.09265527507918803,1.073,17.149385,0.002941,2.56189,0.016428235358674406,nan,nan,nan,nan,nan,nan,nan,nan,3457.5160277074137,3531.1,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,-1.0
5335003080004699264,5335003080004699264,176.68025105042,-61.02494184462,2.0685,0.0585,-10.486,3.303,0.09068627239003707,1.03,17.253395,0.00287,2.172012,0.013202196938388701,nan,nan,nan,nan,nan,nan,nan,nan,3770.1663236039167,3872.0,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,1.0,0.0,nan,0.0,0.0,-1.0
5335543313822162048,5335543313822162048,177.70182394418,-59.80624538667,2.3688,0.1073,-11.284,3.259,0.15363918770938617,1.02,18.041544,0.003287,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,...,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,1.0,0.0,1.0,0.0,nan,0.0,0.0,-1.0
